ClinicID,DiagnosisValue,encounter_count
20.0,A02.0,4
20.0,A02.1,2
20.0,A02.9,3
20.0,A04.0,4
20.0,A04.4,2
20.0,A04.5,2
20.0,A04.6,1
20.0,A04.8,5
20.0,A08.0,4
20.0,A08.11,10
20.0,A08.2,3
20.0,A08.32,1
20.0,A08.39,4
20.0,A08.4,32
20.0,A09,17
20.0,A15.0,1
20.0,A15.9,1
20.0,A21.0,16
20.0,A28.1,1
20.0,A31.0,3
20.0,A31.8,1
20.0,A31.9,1
20.0,A40.0,6
20.0,A40.1,6
20.0,A40.3,3
20.0,A40.8,8
20.0,A40.9,16
20.0,A41.01,29
20.0,A41.02,21
20.0,A41.1,8
20.0,A41.3,3
20.0,A41.4,3
20.0,A41.50,5
20.0,A41.51,72
20.0,A41.52,6
20.0,A41.59,24
20.0,A41.81,15
20.0,A41.89,253
20.0,A41.9,672
20.0,A42.7,1
20.0,A42.9,1
20.0,A49.02,7
20.0,A49.1,3
20.0,A49.8,12
20.0,A49.9,4
20.0,A52.13,1
20.0,A52.14,1
20.0,A54.24,1
20.0,A54.9,1
20.0,A59.01,6
20.0,A59.03,1
20.0,A59.9,4
20.0,A60.01,1
20.0,A60.04,3
20.0,A60.09,1
20.0,A60.1,1
20.0,A63.0,9
20.0,A64,19
20.0,A69.23,1
20.0,A74.9,1
20.0,A77.40,1
20.0,A77.41,1
20.0,A85.8,1
20.0,A87.2,1
20.0,A87.8,1
20.0,A93.8,1
20.0,B00.0,1
20.0,B00.1,5
20.0,B00.9,2
20.0,B01.89,1
20.0,B01.9,1
20.0,B02.1,1
20.0,B02.22,1
20.0,B02.30,1
20.0,B02.9,11
20.0,B07.0,3
20.0,B07.8,2
20.0,B08.4,6
20.0,B09,5
20.0,B10.01,1
20.0,B17.10,1
20.0,B17.9,5
20.0,B18.1,2
20.0,B18.2,11
20.0,B19.20,7
20.0,B20,5
20.0,B25.0,1
20.0,B27.00,1
20.0,B27.90,2
20.0,B30.9,2
20.0,B33.8,50
20.0,B34.0,6
20.0,B34.2,19
20.0,B34.8,100
20.0,B34.9,148
20.0,B35.0,3
20.0,B35.1,10
20.0,B35.3,3
20.0,B35.4,2
20.0,B35.6,1
20.0,B36.9,1
20.0,B37.0,4
20.0,B37.2,1
20.0,B37.3,4
20.0,B37.49,3
20.0,B37.7,4
20.0,B37.81,1
20.0,B37.9,5
20.0,B39.0,1
20.0,B39.2,5
20.0,B39.9,2
20.0,B44.9,1
20.0,B53.1,2
20.0,B95.2,1
20.0,B95.61,1
20.0,B95.62,3
20.0,B96.5,3
20.0,B96.6,3
20.0,B96.89,1
20.0,B97.0,2
20.0,B97.29,1
20.0,B97.4,2
20.0,B97.81,2
20.0,B97.89,2
20.0,B99.8,3
20.0,B99.9,2
20.0,C00.1,1
20.0,C01,10
20.0,C02.1,3
20.0,C02.8,1
20.0,C02.9,4
20.0,C04.1,1
20.0,C04.9,1
20.0,C05.2,1
20.0,C06.0,1
20.0,C06.9,1
20.0,C07,4
20.0,C09.0,1
20.0,C09.8,2
20.0,C09.9,3
20.0,C10.4,1
20.0,C10.9,2
20.0,C11.1,1
20.0,C11.3,1
20.0,C11.9,2
20.0,C13.9,1
20.0,C14.8,1
20.0,C15.4,1
20.0,C15.5,5
20.0,C15.9,6
20.0,C16.0,4
20.0,C16.9,5
20.0,C17.0,1
20.0,C17.9,1
20.0,C18.1,2
20.0,C18.2,10
20.0,C18.3,2
20.0,C18.4,9
20.0,C18.5,6
20.0,C18.6,2
20.0,C18.7,11
20.0,C18.9,20
20.0,C19,9
20.0,C20,47
20.0,C21.0,11
20.0,C21.1,2
20.0,C21.8,3
20.0,C22.0,27
20.0,C22.1,10
20.0,C22.7,3
20.0,C23,1
20.0,C24.0,1
20.0,C25.0,9
20.0,C25.4,1
20.0,C25.8,1
20.0,C25.9,11
